"ID","TextID","ExistsInID","SortInPra"
"3398","3304","413","1"
"3399","3305","413","2"
"3400","3306","415","1"
"3401","3307","415","2"
"3402","3308","415","3"
"3403","3309","415","4"
"3404","3310","415","5"
"3405","3311","416","1"
"3406","3312","416","2"
"3407","3313","416","3"
"3408","3314","416","4"
"3409","3315","416","5"
"3410","3316","417","1"
"3411","3317","417","2"
"3412","3318","417","3"
"3413","3319","417","4"
"3415","3320","418","1"
"3416","3321","418","2"
"3417","3322","418","3"
"3418","3323","418","4"
"3414","2627","418","5"
"3419","3324","419","1"
"3426","3325","419","2"
"3420","3326","419","3"
"3421","3327","419","4"
"3422","3328","419","5"
"3423","3329","419","6"
"3424","3330","419","7"
"3425","3331","419","8"
"3428","657","420","1"
"3429","3333","420","2"
"3430","3334","420","3"
"14156","1344","421","1"
"14157","2130","421","2"
"14158","6650","421","3"
"14159","6651","421","4"
"14160","6593","421","5"
"14161","6653","657","1"
"14162","6654","658","1"
"1474","1738","659","1"
"14163","6655","660","1"
"14164","283","660","2"
"14165","6656","660","3"
"14166","6657","660","4"
"14167","6658","661","1"
"14168","6659","661","2"
"14169","220","661","3"
"14170","6660","661","4"
"14171","6661","662","1"
"14172","6662","662","2"
"14173","6663","662","3"
"14174","6664","662","4"
"14175","6665","662","5"
"14176","6666","662","6"
"14177","6667","663","1"
"14178","6668","663","2"
"14179","6669","663","3"
"14180","6670","663","4"
"14181","6671","663","5"
"14182","6672","663","6"
"14183","6673","664","1"
"14184","6674","664","2"
"14185","6675","664","3"
"14186","6676","664","4"
"14187","6677","664","5"
"14188","6678","665","1"
"14189","6679","665","2"
"14190","6680","666","1"
"14191","6681","666","2"
"14192","6682","667","1"
"14193","6683","667","2"
"14194","6684","667","3"
"14195","6685","667","4"
"14196","324","668","1"
"14197","6686","668","2"
"14198","6687","668","3"
"14199","6688","668","4"
"14200","6689","669","1"
"14201","6680","669","2"
"14202","6690","669","3"
"14203","6691","669","4"
"14204","6681","669","5"
"14205","6692","669","6"
"14206","6693","670","1"
"14207","6694","670","2"
"14208","6695","670","3"
"14209","6696","670","4"
"14210","6697","670","5"
"14211","6313","671","1"
"14212","6314","671","2"
"14213","6698","671","3"
"14214","6699","671","4"
"14215","6700","671","5"
"14216","6701","671","6"
"14217","6313","671","7"
"14218","6314","671","8"
"14219","6702","672","1"
"14220","6703","672","2"
"14221","6704","672","3"
"14222","6705","672","4"
"14223","6706","672","5"
"14224","6707","673","1"
"14225","6708","673","2"
"14226","6709","673","3"
"14227","6710","673","4"
"14228","6711","673","5"
"14229","6712","674","1"
"14230","6713","674","2"
"14231","6714","674","3"
"14232","6715","674","4"
"14233","6716","674","5"
"14234","6717","675","1"
"14235","6718","675","2"
"14236","6719","675","3"
"14237","6720","675","4"
"14238","6721","675","5"
"14244","6727","676","1"
"14245","6728","676","2"
"14246","6729","676","3"
"14247","6730","676","4"
"14248","6731","676","5"
"14239","6722","677","1"
"14240","6723","677","2"
"14241","6724","677","3"
"14242","6725","677","4"
"14243","6726","677","5"
"14249","6732","678","1"
"14250","6733","678","2"
"14251","6734","678","3"
"14252","6735","678","4"
"14253","6736","678","5"
"3427","3332","7738","1"
"4071","3825","7784","1"
"7561","3928","8939","1"
"7562","4687","8940","1"
"7563","4969","8940","2"
"7564","4970","8940","3"
"7565","4971","8940","3"
"7567","3928","9154","1"
"7568","4606","9155","1"
"7569","4614","9156","1"
"7570","5124","9157","1"
"7571","4745","9158","1"
"7572","4746","9159","1"
"7573","4747","9160","1"
"7575","5373","9161","1"
"7574","3826","9162","1"
"7578","5374","9163","1"
"7577","3839","9164","1"
