"MelodyN","QoloN","Melody","MelodySerch","QintoN","OccasionN","NoteN","Record"
"1949","30","ܢܳܚ ܠܗܽܘܢ ܡܶܢ ܫܶܠܝܳܐ","ܢܚ ܠܗܘܢ ܡܢ ܫܠܝܐ","0",,"340","false"
"945","30","ܐܰܝܟܳܐ ܕܗܺܝ ܡܶܠܬܳܐ","ܐܝܟܐ ܕܗܝ ܡܠܬܐ","1",,"270","true"
"579","38","ܐܰܫܘܳܢܝ̄ ܡܳܪܝ̄ ܕܶܐܡܪܳܟ ܒܩܳܠܰܝ̈ܗܽܘܢ","ܐܫܘܢܝ ܡܪܝ ܕܐܡܪܟ ܒܩܠܝܗܘܢ","1",,,"true"
"580","38","ܐܶܡܰܪ ܡܳܪܝ̄ ܫܰܪܒܳܗ̇ ܕܰܩܝܳܡܬܳܟ","ܐܡܪ ܡܪܝ ܫܪܒܗ ܕܩܝܡܬܟ","2",,"241","true"
"581","38","ܐܰܠܳܗܳܐ ܒܪ̈ܰܚܡܰܘܗ̄ܝ̄","ܐܠܗܐ ܒܪܚܡܘܗܝ","3",,"240","true"
"583","38","ܐܳܘ ܥܳܠܡܳܐ ܥܽܘܡܪܳܐ ܕܥܳܩ̈ܳܬܳܐ","ܐܘ ܥܠܡܐ ܥܘܡܪܐ ܕܥܩܬܐ","4",,"243","true"
"585","38","ܫܰܦܺܝܪܳܢܝ̄ ܡܶܢ ܫܶܡܫܶܗ ܕܢܺܝܣܳܢ","ܫܦܝܪܢܝ ܡܢ ܫܡܫܗ ܕܢܝܣܢ","5",,"242","true"
"593","38","ܛܽܘܒܰܝܗܽܘܢ ܠܢܰܟ̈ܦܶܐ ܘܨܰܝ̈ܳܡܶܐ","ܛܘܒܝܗܘܢ ܠܢܟܦܐ ܘܨܝܡܐ","8",,"63","false"
"592","38","ܠܳܟ ܫܽܘܒܚܳܐ ܡܳܪܳܐ ܕܟܽܠ ܒܶܪ̈ܝܳܢ","ܠܟ ܫܘܒܚܐ ܡܪܐ ܕܟܠ ܒܪܝܢ","23",,"63","false"
"1786","43","ܐܶܡܳܐ ܕܟܺܝܬܳܐ","ܐܡܐ ܕܟܝܬܐ","4",,,"false"
"1836","100","ܒܗܰܘ̇ ܢܽܘܗܪܳܐ ܓܰܐܝܳܐ","ܒܗܘ ܢܘܗܪܐ ܓܐܝܐ","7",,,"false"
"1757","107","ܒܢܰܝ̈ ܢܽܘܗܪܳܐ","ܒܢܝ ܢܘܗܪܐ",,,,"false"
"110","114","ܒܗܳܢܳܐ ܝܰܘܡܶܗ ܕܚܰܕ ܒܫܰܒܳܐ ܢܚܶܬ ܡܰܠܐܟ̈ܶܐ ܡܶܢ ܪܰܘܡܳܐ","ܒܗܢܐ ܝܘܡܗ ܕܚܕ ܒܫܒܐ ܢܚܬ ܡܠܐܟܐ ܡܢ ܪܘܡܐ","1",,,"true"
"112","114","ܥܰܠ ܬܽܘܟܠܳܢܶܗ ܕܰܚܢܳܢܳܟ ܩܳܪܶܝܢܰܢ ܠܳܟ ܥܳܒܽܘܕܰܢ","ܥܠ ܬܘܟܠܢܗ ܕܚܢܢܟ ܩܪܝܢܢ ܠܟ ܥܒܘܕܢ","2",,,"true"
"113","114","ܠܰܓܢܽܘܢܶܗ ܕܡܳܪܳܐ ܪܚܺܝܡܳܐ ܪ̈ܗܶܛܘ̄ ܢܶܫ̈ܶܐ ܩܰܕܺܝ̈ܫܳܬܳܐ","ܠܓܢܘܢܗ ܕܡܪܐ ܪܚܝܡܐ ܪܗܛܘ ܢܫܐ ܩܕܝܫܬܐ","3",,,"true"
"114","114","ܒܚܰܕ ܒܫܰܒܳܐ ܩܰܕܡܰܬ ܡܰܪܝܰܡ ܕܬܶܚܙܶܐ ܠܰܒܪܳܗ̇ ܒܶܝܬ ܡܺܝ̈ܬܶܐ","ܒܚܕ ܒܫܒܐ ܩܕܡܬ ܡܪܝܡ ܕܬܚܙܐ ܠܒܪܗ ܒܝܬ ܡܝܬܐ","4",,,"true"
"116","114","ܨܰܝܳܡܳܐ ܕܣܳܢܶܐ ܠܰܐܚܽܘܗ̄ܝ ܐܣܽܘܛܳܐ ܚܫܺܝܒ ܠܰܐܠܳܗܳܐ","ܨܝܡܐ ܕܣܢܐ ܠܐܚܘܗܝ ܐܣܘܛܐ ܚܫܝܒ ܠܐܠܗܐ","5",,,"true"
"117","114","ܒܚܰܕ ܒܫܰܒܳܐ ܝܰܘܡܳܐ ܒܽܘܟܪܳܐ ܩܳܡ ܒܽܘܟܪܳܐ ܡܶܢ ܒܶܝܬ ܡܺܝ̈ܬܳܐ","ܒܚܕ ܒܫܒܐ ܝܘܡܐ ܒܘܟܪܐ ܩܡ ܒܘܟܪܐ ܡܢ ܒܝܬ ܡܝܬܐ","6",,,"true"
