"OccaExisID","ExistInID","OccN"
"31","413","1"
"32","415","1"
"33","416","1"
"34","417","1"
"35","418","1"
"36","419","1"
"37","420","1"
"38","421","1"
"493","657","1"
"494","658","1"
"495","659","1"
"496","660","1"
"497","661","1"
"498","662","1"
"499","663","1"
"500","664","1"
"501","665","1"
"502","666","1"
"503","667","1"
"504","668","1"
"505","669","1"
"506","670","1"
"507","671","1"
"508","672","1"
"509","673","1"
"510","674","1"
"511","675","1"
"512","676","1"
"513","677","1"
"514","678","1"
"515","679","1"
"516","680","1"
"517","681","1"
"518","682","1"
"519","683","1"
"520","684","1"
"7494","7738","1"
"7524","7784","1"
"8665","8939","1"
"8666","8940","1"
"8872","9154","1"
"8873","9155","1"
"8874","9156","1"
"8875","9157","1"
"8876","9158","1"
"8877","9159","1"
"8878","9160","1"
"8879","9161","1"
"8880","9162","1"
"8881","9163","1"
"8882","9164","1"
"9102","9384","1"
