"PetExistID","PetN","TextID","ExistInTextID"
"514","144","3316","3410"
"515","10","3317","3411"
"516","1","3318","3412"
"517","2","3319","3413"
"18","9","3320","3415"
"19","10","3321","3416"
"20","1","3322","3417"
"21","2","3323","3418"
"1845","3","6593","14160"
"1848","67","6655","14163"
"1849","23","283","14164"
"1846","1","6656","14165"
"1847","2","6657","14166"
"1853","59","6658","14167"
"1852","67","6659","14168"
"1851","1","220","14169"
"1850","2","6660","14170"
"1856","317","6682","14192"
"1857","318","6683","14193"
"1855","1","6684","14194"
"1854","2","6685","14195"
"1861","319","324","14196"
"1862","320","6686","14197"
"1858","1","6687","14198"
"1859","2","6688","14199"
