"PetN","ABCD","Petgomo","PetSerch"
"1","1","ܫܽܘܒܚܳܐ ܠܰܐܒܳܐ ܘܠܰܒܪܳܐ ܘܰܠܪܽܘܚܳܐ ܩܰܕܺܝܫܳܐ :","ܫܘܒܚܐ ܠܐܒܐ ܘܠܒܪܐ ܘܠܪܘܚܐ ܩܕܝܫܐ "
"2","2","ܡܶܢ ܥܳܠܰܡ ܘܰܥܕܰܡܳܐ ܠܥܳܠܰܡ ܥܳܠܡܺܝ̈ܢ ܐܰܡܺܝܢ :","ܡܢ ܥܠܡ ܘܥܕܡܐ ܠܥܠܡ ܥܠܡܝܢ ܐܡܝܢ "
"3","3","ܫܽܘܒܚܳܐ ܠܰܐܒܳܐ ܘܠܰܒܪܳܐ ܘܰܠܪܽܘܚܳܐ ܩܰܕܺܝܫܳܐ :
ܡܶܢ ܥܳܠܰܡ ܘܰܥܕܰܡܳܐ ܠܥܳܠܰܡ ܥܳܠܡܺܝ̈ܢ ܐܰܡܺܝܢ :","ܫܘܒܚܐ ܠܐܒܐ ܘܠܒܪܐ ܘܠܪܘܚܐ ܩܕܝܫܐ ܡܢ ܥܠܡ ܘܥܕܡܐ ܠܥܠܡ ܥܠܡܝܢ ܐܡܝܢ "
"9","116","ܦܬ : ܘܡܰܠܟܬܳܐ ܡܶܢ ܝܰܡܺܝܢܳܟ :"," ܘܡܠܟܬܐ ܡܢ ܝܡܝܢܟ "
"10","59","ܦܬ : ܒܝܰܘ̈ܡܳܬܳܐ ܩܰܕ̈ܡܳܝܶܐ :"," ܒܝܘܡܬܐ ܩܕܡܝܐ "
"23","281","ܦܬ : ܫܡܰܥܘ̄ ܗܳܕܶܐ ܟܽܠܟܽܘܢ ܥܰܡ̈ܡܶܐ :"," ܫܡܥܘ ܗܕܐ ܟܠܟܘܢ ܥܡܡܐ "
"59","99","ܦܬ : ܗܳܝܕܺܝܢ ܡܡܰܠܶܠ ܒܚܶܙ̈ܘܳܢܶܐ ܥܰܡ ܙܰܕܺܝܩܰܘ̈ܗ̄ܝ̄ :"," ܗܝܕܝܢ ܡܡܠܠ ܒܚܙܘܢܐ ܥܡ ܙܕܝܩܘܗܝ "
"67","132","ܦܬ : ܛܽܘܒܰܝܟܝ̄ ܘܛܽܒܬܳܐ ܠܢܰܦܫܶܟܝ̄ :"," ܛܘܒܝܟܝ ܘܛܒܬܐ ܠܢܦܫܟܝ "
"144","45","ܦܬ : ܐܶܬܕܰܟܪ ܥܺܕ̄ܬܳܟ ܗܳܝ̇ ܕܰܩܢܰܝܬ ܡܶܢ ܩܕܺܝܡ :"," ܐܬܕܟܪ ܥܕܬܟ ܗܝ ܕܩܢܝܬ ܡܢ ܩܕܝܡ "
"317","121","ܦܬ : ܘܪ̈ܳܚܡܰܝ ܫܡܶܗ ܢܶܫܪܽܘܢ ܒܶܗ"," ܘܪܚܡܝ ܫܡܗ ܢܫܪܘܢ ܒܗ"
"318","107","ܦܬ : ܘܺܐܡܰܪ ܦ̈ܶܠܳܐܬܳܐ ܕܡܶܢ ܩܕܺܝܡ"," ܘܐܡܪ ܦܠܐܬܐ ܕܡܢ ܩܕܝܡ"
"319","268","ܦܬ : ܩܪܺܝܬܶܗ ܗܺܝ̣ ܕܡܰܠܟܳܐ ܪܰܒܳܐ"," ܩܪܝܬܗ ܗܝ̣ ܕܡܠܟܐ ܪܒܐ"
"320","149","ܦܬ : ܠܳܐ ܐܶܕܚܰܠ ܡܶܢ ܒܺܝܫܬܳܐ ܡܶܛܽܠ ܕܰܐܢ̄ܬ ܥܰܡܝ̄"," ܠܐ ܐܕܚܠ ܡܢ ܒܝܫܬܐ ܡܛܠ ܕܐܢܬ ܥܡܝ"
