"GroupN","QoloN","Sort","QoloSerch","Qolo","Poetic"
"4","30","34","ܐܝܟܐ ܕܗܝ ܡܠܬܐ","ܐܰܝܟܳܐ ܕܗܺܝ ܡܶܠܬܳܐ (ܐ)","(5-7)*5"
"3","38","44","ܐܠܗܐ ܒܪܚܡܘܗܝ (ܩܘܡ ܦܘܠܘܣ)","ܐܰܠܳܗܳܐ ܒܪ̈ܰܚܡܰܘܗ̄ܝ̄ (ܩܽܘܡ ܦܰܘܠܳܘܣ)","(8-8)*2 / (5)*4 / (8-8)"
"8","43","49","ܐܡܐ ܕܟܝܬܐ","ܐܶܡܳܐ ܕܟܺܝܬܳܐ (ܕ)","4-5 / 4-5 / 7"
"8","100","117","ܒܗܘ ܢܘܗܪܐ ܓܐܝܐ","ܒܗܰܘ̇ ܢܽܘܗܪܳܐ ܓܰܐܝܳܐ (ܙ)",
"8","107","129","ܒܢܝ ܢܘܗܪܐ","ܒܢܰܝ̈ ܢܽܘܗܪܳܐ","(3-7) / (4-5-7)"
"1","114","1","ܒܥܘܬܐ ܕܡܪܝ ܐܦܪܝܡ","ܒܳܥܽܘܬܳܐ ܕܡܳܪܝ̄ ܐܰܦܪܶܝܡ","(7-7) / (7-7)"
"1","116","3","ܒܥܘܬܐ ܕܡܪܝ ܝܥܩܘܒ","ܒܳܥܽܘܬܳܐ ܕܡܳܪܝ̄ ܝܰܥܩܽܘܒ","(4-4-4) / (4-4-4)"
"8","129","152","ܒܪܝܟ ܕܚܕܝ ܠܫܡܝܢܐ","ܒܪܺܝܟ ܕܚܰܕܺܝ ܠܰܫ̈ܡܰܝܳܢܶܐ (ܗ ، ܘ)","7-5 / 7-5"
"12","153","178","ܕܝܢܐ ܕܕܝܢܐ (ܠܟ ܡܪܝܐ ܩܪܝܢܢ)","ܕܰܝܳܢܳܐ ܕܕܰܝ̈ܳܢܶܐ (ܠܳܟ ܡܳܪܝܳܐ ܩܳܪܶܝܢܰܢ)","(6-4-7-5)*2 / (3-5)*2 / (7-5)"
"3","161","187","ܕܦܪܕܝܣܐ","ܕܦܰܪܕܰܝܣܳܐ","(5-5)*3 / 7 / (5-5)*2"
"0","180","208","ܗܠܠܘܝܗ","ܗܰܠܶܠܽܘܝܰܗ",
"3","181","209","ܗܢܐ ܝܘܡܐ ܚܕܝ ܡܪܝ","ܗܳܢܳܐ ܝܰܘܡܳܐ ܚܰܕܺܝ ܡܳܪܝ̄","(7-7)*2"
