"TextID","TheText","Chose","TextSearch","TextSearchKey","TextSimilarityKey"
"220","ܟܰܕ ܒܳܢܶܐ ܗ̄ܘܳܐ ܡܽܘܫܶܐ ܡܰܫܟܰܢ ܙܰܒܢܳܐ . ܟܽܠܢܳܫ ܐܰܝܬܺܝ ܪܽܘܡܝܳܢܳܐ ܡܶܕܶܡ ܕܺܐܝܬ ܗ̄ܘܳܐ ܠܶܗ . ܥܰܬܺܝܪ̈ܶܐ ܐܰܪܡܺܝܽܘ ܕܰܗܒܳܐ ܐ̄ܚܪ̈ܳܢܶܐ ܣܺܐܡܳܐ . ܘܰܐ̄ܚܪ̈ܳܢܶܐ ܒܽܘܨܳܐ ܥܙܺܝܠܳܐ ܡܶܕܶܡ ܕܺܐܝܬ ܗ̄ܘܳܐ ܠܗܽܘܢ . ܐܰܪܡܰܠܬܳܐ ܐܰܪܡܝܰܬ ܫܳܡܽܘ̈ܢܶܐ . ܘܰܒܗܳܠܶܝܢ ܥܺܕ̄ܬܳܐ ܪܫܺܝܡܳܐ ܗ̄ܘܳܬ . ܒܪܺܝܟ ","true","ܟܕ ܒܢܐ ܗܘܐ ܡܘܫܐ ܡܫܟܢܙܒܢܐ ܟܠܢܫ ܐܝܬܝ ܪܘܡܝܢܐ ܡܕܡ ܕܐܝܬ ܗܘܐ ܠܗ ܥܬܝܪܐ ܐܪܡܝܘ ܕܗܒܐ ܐܚܪܢܐ ܣܐܡܐ ܘܐܚܪܢܐ ܒܘܨܐ ܥܙܝܠܐ ܡܕܡ ܕܐܝܬ ܗܘܐ ܠܗܘܢ ܐܪܡܠܬܐ ܐܪܡܝܬ ܫܡܘܢܐ ܘܒܗܠܝܢ ܥܕܬܐ ܪܫܝܡܐ ܗܘܬ ܒܪܝܟ ܕܒܢܗ ܠܥܕܬ ܩܘܕܫܐ ܒܫܡܝܐ ܘܒܐܪܥܐ ","828624754FB72A4616D9A26F1DEC1E47","ܟܕ ܒܢܐ ܗܘܐ ܡܘܫܐ ܡܫܟܢ ܙܒܢܐ ܟܠܢܫ ܐܝܬܝ ܪܘܡܝܢܐ ܡܕܡ ܕܐܝܬ ܗܘܐ ܠܗ ܥܬܝܪܐ ܐܪܡܝܘ ܕܗܒܐ ܐܚܪܢܐ ܣܐܡܐ ܘܐܚܪܢܐ ܒܘܨܐ ܥܙܝܠܐ ܡܕܡ ܕܐܝܬ ܗܘܐ ܠܗܘܢ ܐܪܡܠܬܐ ܐܪܡܝܬ ܫܡܘܢܐ ܘܒܗܠܝܢ ܥܕܬܐ ܪܫܝܡܐ ܗܘܬ ܒܪܝܟ ܕܒܢܗ ܠܥܕܬ ܩܘܕܫܐ ܒܫܡܝܐ ܘܒܐܪܥܐ"
"283","ܚܰܬܢܳܐ ܕܥܳܒܶܕ ܡܶܫܬܽܘܬܳܐ . ܬܰܘܪܳܐ ܕܦܶܛܡܳܐ ܢܳܟܶܣ ܒܳܗ̇ . ܘܩܳܪܶܐ ܠܰܙܡܺܝ̈ܢܰܘܗ̄ܝ̄ ܕܥܰܡܶܗ ܢܶܬܒܰܣܡܽܘܢ . ܘܗܳܢܳܐ ܚܰܬܢܳܐ ܫܡܰܝܳܢܳܐ . ܕܡܶܫܬܽܘܬܳܐ ܥܒܰܕ ܠܶܗ . ܒܫܰܗܪܳܐ ܘܨܰܘܡܳܐ ܘܰܨܠܽܘܬܳܐ . ܙܡܺܝ̈ܢܰܘܗ̄ܝ̄ ܡܶܬܒܰܣܡܺܝܢ . ܩܨܳܐ ܦܰܓܪܶܗ ܘܰܗܘܳܐ ܐܽܘܟܠܳܐ . ܡܙܰܓ ܠܰܕܡܶܗ ܘܰܗܘܳܐ ܫܶܩܝܳܐ . ܘ","true","ܚܬܢܐ ܕܥܒܕ ܡܫܬܘܬܐ ܬܘܪܐ ܕܦܛܡܐ ܢܟܣ ܒܗ ܘܩܪܐ ܠܙܡܝܢܘܗܝ ܕܥܡܗ ܢܬܒܣܡܘܢ ܘܗܢܐ ܚܬܢܐ ܫܡܝܢܐ ܕܡܫܬܘܬܐ ܥܒܕ ܠܗ ܒܫܗܪܐ ܘܨܘܡܐ ܘܨܠܘܬܐ ܙܡܝܢܘܗܝ ܡܬܒܣܡܝܢ ܩܨܐ ܦܓܪܗ ܘܗܘܐ ܐܘܟܠܐ ܡܙܓ ܠܕܡܗ ܘܗܘܐ ܫܩܝܐ ܘܗܐ ܦܪܝܩܝܢ ܥܡܡܐ ܒܕܡܗ ܘܥܕܬܐ ܡܟܝܪܬܗ ܚܕܝܐ ܒܗ ܘܐܡܐ ܕܝܠܕܬܗ ܬܫܒܘܚܬܐ ܙܡܪܐ ","4824B647AA06076B161CFD02658722BA","ܚܬܢܐ ܕܥܒܕ ܡܫܬܘܬܐ ܬܘܪܐ ܕܦܛܡܐ ܢܟܣ ܒܗ ܘܩܪܐ ܠܙܡܝܢܘܗܝ ܕܥܡܗ ܢܬܒܣܡܘܢ ܘܗܢܐ ܚܬܢܐ ܫܡܝܢܐ ܕܡܫܬܘܬܐ ܥܒܕ ܠܗ ܒܫܗܪܐ ܘܨܘܡܐ ܘܨܠܘܬܐ ܙܡܝܢܘܗܝ ܡܬܒܣܡܝܢ ܩܨܐ ܦܓܪܗ ܘܗܘܐ ܐܘܟܠܐ ܡܙܓ ܠܕܡܗ ܘܗܘܐ ܫܩܝܐ ܘܗܐ ܦܪܝܩܝܢ ܥܡܡܐ ܒܕܡܗ ܘܥܕܬܐ ܡܟܝܪܬܗ ܚܕܝܐ ܒܗ ܘܐܡܐ ܕܝܠܕܬܗ ܬܫܒܘܚܬܐ ܙܡܪܐ"
"324","ܥܺܕܬܳܟ ܐܶܢܳܐ ܡܳܪܰܢ . ܘܥܰܠ ܦܰܣܰܬ ܐܺܝܕܰܝ̈ܟ ܣܺܝܡܳܢܝ̄ . ܠܳܐ ܬܰܪܦܶܐ ܒܺܝ ܐܺܝ̈ܕܰܝܳܐ ܚܰܬܢܳܐ ܫܡܰܝܳܢܳܐ . ܕܠܰܢܒܺܝ̈ܶܐ ܡܟܺܝܪܳܐ ܐ̄ܢܳܐ . ܘܰܫܠܺܝܚ̈ܶܐ ܣܳܡܘ̄ ܫܶܬܶܐܣܰܝ̈ . ܘܣܳܗ̈ܕܶܐ ܒܰܕܡܳܐ ܕܨܰܘܪ̈ܰܝܗܽܘܢ ܫܰܟܠܶܠܘ̄ ܒܶܢ̈ܝܳܢܰܝ ܀","true","ܥܕܬܟ ܐܢܐ ܡܪܢ ܘܥܠ ܦܣܬ ܐܝܕܝܟ ܣܝܡܢܝ ܠܐ ܬܪܦܐ ܒܝ ܐܝܕܝܐ ܚܬܢܐ ܫܡܝܢܐ ܕܠܢܒܝܐ ܡܟܝܪܐ ܐܢܐ ܘܫܠܝܚܐ ܣܡܘ ܫܬܐܣܝ ܘܣܗܕܐ ܒܕܡܐ ܕܨܘܪܝܗܘܢ ܫܟܠܠܘ ܒܢܝܢܝ ","D7BB66E4949CE70A3153E4D21A9BFCE9","ܥܕܬܟ ܐܢܐ ܡܪܢ ܘܥܠ ܦܣܬ ܐܝܕܝܟ ܣܝܡܢܝ ܠܐ ܬܪܦܐ ܒܝ ܐܝܕܝܐ ܚܬܢܐ ܫܡܝܢܐ ܕܠܢܒܝܐ ܡܟܝܪܐ ܐܢܐ ܘܫܠܝܚܐ ܣܡܘ ܫܬܐܣܝ ܘܣܗܕܐ ܒܕܡܐ ܕܨܘܪܝܗܘܢ ܫܟܠܠܘ ܒܢܝܢܝ"
"657","ܩܰܕܺܝܫܰܬ ܐܰܠܳܗܳܐ . ܩܰܕܺܝܫܰܬ ܚܰܝܠܬܳܢܳܐ . ܩܰܕܺܝܫܰܬ ܠܳܐ ܡܳܝܽܘܬܳܐ ܐܶܬܪܰܚܰܡ ܥܠܰܝܢ ܀","true","ܩܕܝܫܬ ܐܠܗܐ ܩܕܝܫܬ ܚܝܠܬܢܐ ܩܕܝܫܬ ܠܐ ܡܝܘܬܐ ܐܬܪܚܡ ܥܠܝܢ ","0B0B90E4912CC908CA3511DB23B123E6","ܩܕܝܫܬ ܐܠܗܐ ܩܕܝܫܬ ܚܝܠܬܢܐ ܩܕܝܫܬ ܠܐ ܡܝܘܬܐ ܐܬܪܚܡ ܥܠܝܢ"
"1344","ܥܰܡ ܗܳܢܽܘܢ ܕܰܠܥܶܠ . ܪ̈ܰܒܰܝ ܚܰܝ̈ܠܰܘܳܬܳܐ ܕܡܰܠܰܐ̈ܟܶܐ ܡܰܘܕܶܝܢܰܢ ܠܳܟ . ܘܰܡܫܰܒܚܺܝܢܰܢ ܟܰܕ ܐܳܡܪܺܝܢܰܢ . ܠܳܟ ܬܶܫܒܽܘܚܬܳܐ ܒܳܪܽܘܝܳܐ ܕܟܽܠ ܒܶܪ̈ܝܳܬܳܐ ܀","true","ܥܡ ܗܢܘܢ ܕܠܥܠ ܪܒܝ ܚܝܠܘܬܐ ܕܡܠܐܟܐ ܡܘܕܝܢܢ ܠܟ ܘܡܫܒܚܝܢܢ ܟܕ ܐܡܪܝܢܢ ܠܟ ܬܫܒܘܚܬܐ ܒܪܘܝܐ ܕܟܠ ܒܪܝܬܐ ","55ADC5D1E785F9672C6EEC75891D372F","ܥܡ ܗܢܘܢ ܕܠܥܠ ܪܒܝ ܚܝܠܘܬܐ ܕܡܠܐܟܐ ܡܘܕܝܢܢ ܠܟ ܘܡܫܒܚܝܢܢ ܟܕ ܐܡܪܝܢܢ ܠܟ ܬܫܒܘܚܬܐ ܒܪܘܝܐ ܕܟܠ ܒܪܝܬܐ"
"1738","ܟܰܕ ܫܠܶܝܡܽܘܢ ܒܦܶܠ̈ـܠܳܐܬܳܐ ܡܡܰܠܶܠ ܗ̄ܘܳܐ . ܡܰܢ ܕܳܕܶܟܝ̄ ܫܰܦܺܝܪܬܳܐ ܕܢܶܫ̈ܶܐ ܕܣܰܓܺܝ ܚܬܺܝܪܰܬܝ̄ ܒܶܗ . ܕܳܕܝ̄ ܕܺܝܠܝ̄ ܡܶܢ ܣܽܘܓܳܐܐ ܕܪ̈ܶܒܘܳܬܳܐ ܐܶܬܓܒܺܝ . ܗܰܘ̇ ܕܟܰܪܡܶܗ ܐܺܝܬܰܘܗ̄ܝ̄ ܝܺܣܪܳܝܶܠ . ܚܶܘܳܪ ܡܶܢ ܓܦܶܬܳܐ ܕܝܰܥܩܽܘܒ . ܣܽܘܡܳܩ ܡܶܢ ܡܶܫܚܳܐ ܕܢܰܪܕܺܝܢ . ܩܰܛܺܝܢ ܡܶܢ ܐܰܪ̈ܙܶܐ ܕܠܶܒ","true","ܟܕ ܫܠܝܡܘܢ ܒܦܠܠܐܬܐ","10395DDC8891E043CFEB0C40D3F3620B","ܟܕ ܫܠܝܡܘܢ ܒܦܠـܠܐܬܐ ܡܡܠܠ ܗܘܐ ܡܢ ܕܕܟܝ ܫܦܝܪܬܐ ܕܢܫܐ ܕܣܓܝ ܚܬܝܪܬܝ ܒܗ ܕܕܝ ܕܝܠܝ ܡܢ ܣܘܓܐܐ ܕܪܒܘܬܐ ܐܬܓܒܝ ܗܘ ܕܟܪܡܗ ܐܝܬܘܗܝ ܝܣܪܝܠ ܚܘܪ ܡܢ ܓܦܬܐ ܕܝܥܩܘܒ ܣܘܡܩ ܡܢ ܡܫܚܐ ܕܢܪܕܝܢ ܩܛܝܢ ܡܢ ܐܪܙܐ ܕܠܒܢܢ ܕܡܘܬܐ ܗܘ ܕܐܠܗܐ ܕܠܗ ܟܠܢ ܩـܥܝܢܢ ܡܪܐ ܟܠ ܫܘܒܚܐ ܠܟ"
"2130","ܥܰܡ ܟܪ̈ܽܘܒܶܐ ܢܒܰܪܟܳܟ . ܘܥܰܡ ܣܪ̈ܳܦܶܐ ܢܩܰܕܶܫ ܠܰܫܡܳܟ ܪܳܚܶܡ ܐ̄ܢܳܫ̈ܳܐ . ܘܥܰܡ ܡܰܠܰܐ̈ܟܶܐ ܢܶܒܪܽܘܟ ܘܢܶܣܓܽܘܕ ܠܳܟ . ܘܠܳܟ ܬܶܫܒܽܘܚܬܳܐ ܒܳܪܽܘܝܳܐ ܕܟܽܠ ܒܶܪ̈ܝܳܬܳܐ ܀","true","ܥܡ ܟܪܘܒܐ ܢܒܪܟܟ ܘܥܡ ܣܪܦܐ ܢܩܕܫ ܠܫܡܟ ܪܚܡ ܐܢܫܐ ܘܥܡ ܡܠܐܟܐ ܢܒܪܘܟ ܘܢܣܓܘܕ ܠܟ ܘܠܟ ܬܫܒܘܚܬܐ ܒܪܘܝܐ ܕܟܠ ܒܪܝܬܐ ","B4B5AFDADC3339058B6E4CD1BF5D1D45","ܥܡ ܟܪܘܒܐ ܢܒܪܟܟ ܘܥܡ ܣܪܦܐ ܢܩܕܫ ܠܫܡܟ ܪܚܡ ܐܢܫܐ ܘܥܡ ܡܠܐܟܐ ܢܒܪܘܟ ܘܢܣܓܘܕ ܠܟ ܘܠܟ ܬܫܒܘܚܬܐ ܒܪܘܝܐ ܕܟܠ ܒܪܝܬܐ"
"2627","ܛܰܠܳܐ ܕܚܰܝ̈ܶܐ . ܗܰܘ̇ ܕܶܐܫܬܰܕܰܪ ܡܶܢ ܐܰܒܳܐ . ܘܪܰܣܶܣ ܐܶܢܽܘܢ ܠܰܛܠܳܝ̈ܶܐ . ܒܓܰܘ ܐܰܬܽܘܢܳܐ ܕܒܳܒ̈ܠܳܝܶܐ . ܗܽܘ̣ ܢܰܛܶܠ ܥܰܠ ܥܰܢܺܝ̈ܕܶܐ . ܒܰܐܘܳܢ̈ܶܐ ܟܡܺܝܪ̈ܶܐ ܕܰܫܝܽܘܠ . ܘܰܢܚܰܣܶܐ ܒܽܘܨܳܪ̈ܰܝܗܽܘܢ . ܕܥܰܒ̈ܕܰܘܗ̄ܝ̄ ܕܰܫܟܶܒܘ̄ ܥܰܠ ܣܰܒܪܶܗ . ܘܢܰܘܪܶܬ ܐܶܢܽܘܢ ܡܰܠܟܽܘܬܶܗ . ܕܠܳܐ ܥܳܒܪܳܐ ܘܠܳܐ","true","ܛܠܐ ܕܚܝܐ ܗܘ ܕܐܫܬܕܪ ܡܢ ܐܒܐ ܘܪܣܣ ܐܢܘܢ ܠܛܠܝܐ ܒܓܘ ܐܬܘܢܐ ܕܒܒܠܝܐ ܗܘ ܢܛܠ ܥܠ ܥܢܝܕܐ ܒܐܘܢܐ ܟܡܝܪܐ ܕܫܝܘܠ ܘܢܚܣܐ ܒܘܨܪܝܗܘܢ ܕܥܒܕܘܗܝ ܕܫܟܒܘ ܥܠ ܣܒܪܗ ܘܢܘܪܬ ܐܢܘܢ ܡܠܟܘܬܗ ܕܠܐ ܥܒܪܐ ܘܠܐ ܡܫܬܪܝܐ ","8AE21F8432B700DB9A7A21F1C44EA2BE","ܛܠܐ ܕܚܝܐ ܗܘ ܕܐܫܬܕܪ ܡܢ ܐܒܐ ܘܪܣܣ ܐܢܘܢ ܠܛܠܝܐ ܒܓܘ ܐܬܘܢܐ ܕܒܒܠܝܐ ܗܘ ܢܛܠ ܥܠ ܥܢܝܕܐ ܒܐܘܢܐ ܟܡܝܪܐ ܕܫܝܘܠ ܘܢܚܣܐ ܒܘܨܪܝܗܘܢ ܕܥܒܕܘܗܝ ܕܫܟܒܘ ܥܠ ܣܒܪܗ ܘܢܘܪܬ ܐܢܘܢ ܡܠܟܘܬܗ ܕܠܐ ܥܒܪܐ ܘܠܐ ܡܫܬܪܝܐ"
"3304","ܩܽܘܡܝ̄ ܩܰܒܶܠܝ̄ ܟܰܠܰܬ ܢܽܘܗܪܳܐ ܠܪ̈ܳܥܰܘܳܬܶܟܝ̄ ܫܰܪܺܝܪ̈ܶܐ . ܕܰܫܩܰܠܘ̄ ܠܰܛܢܳܢܗܽܘܢ ܝܺܕܰܥܬܳܐ ܐܰܠܳܗܳܝܬܳܐ . ܘܰܟܐܳܝ ܒܛܳܥܰܝ̈ܶܐ ܡܰܣ̈ܛܝܰܝ ܡܶܢ ܫܪܳܪܶܟܝ̄ . ܘܒܶܐܡܪܶܗ ܕܰܐܠܳܗܳܐ ܐ̄ܪܳܙܳܢܳܐܺܝܬ ܐܶܬܒܣܶܡܝ̄ ܐܰܝ̄ܟ ܕܰܐܫܠܶܡܘ̄ ܠܶܟܝ̄ ܫ̈ܠܺܝܚܶܐ ܘܰܐ̈ܒܳܗܳܬܳܐ ܩܰܕܺܝ̈ܫܶܐ . ܘܰܩܥܳܝ ܕܡܰܚܪܰܡ ܗ̄ܘ̣ܽ ","true","ܩܘܡܝ ܩܒܠܝ ܟܠܬ ܢܘܗܪܐ ܠܪܥܘܬܟܝ ܫܪܝܪܐ ܕܫܩܠܘ ܠܛܢܢܗܘܢ ܝܕܥܬܐ ܐܠܗܝܬܐ ܘܟܐܝ ܒܛܥܝܐ ܡܣܛܝܝ ܡܢ ܫܪܪܟܝ ܘܒܐܡܪܗ ܕܐܠܗܐ ܐܪܙܢܐܝܬ ܐܬܒܣܡܝ ܐܝܟ ܕܐܫܠܡܘ ܠܟܝ ܫܠܝܚܐ ܘܐܒܗܬܐ ܩܕܝܫܐ ܘܩܥܝ ܕܡܚܪܡ ܗܘ̣ ܐܝܢܐ ܕܡܪܦܐ ܠܫܪܪܟܝ ","94115480BBA7A8142F0D0E83E533BCA8","ܩܘܡܝ ܩܒܠܝ ܟܠܬ ܢܘܗܪܐ ܠܪܥܘܬܟܝ ܫܪܝܪܐ ܕܫܩܠܘ ܠܛܢܢܗܘܢ ܝܕܥܬܐ ܐܠܗܝܬܐ ܘܟܐܝ ܒܛܥܝܐ ܡܣܛܝܝ ܡܢ ܫܪܪܟܝ ܘܒܐܡܪܗ ܕܐܠܗܐ ܐܪܙܢܐܝܬ ܐܬܒܣܡܝ ܐܝܟ ܕܐܫܠܡܘ ܠܟܝ ܫܠܝܚܐ ܘܐܒܗܬܐ ܩܕܝܫܐ ܘܩܥܝ ܕܡܚܪܡ ܗܘ ܐܝܢܐ ܕܡܪܦܐ ܠܫܪܪܟܝ"
"3305","ܡܳܐ ܫܰܦܺܝܪܬܝ̄ ܘܡܳܐ ܝܳܐܝܰܬܝ̄ . ܐܳܘ ܥܺܕ̄ܬܳܐ ܡܗܰܝܡܰܢܬܳܐ ܡܟܺܝܪܬܶܗ ܕܚܰܬܢܳܐ ܡܫܺܝܚܳܐ . ܝܳܐܶܝܢ ܦܰܟܰܝ̈ܟܝ̄ ܒܰܓ̈ܕܽܘܠܶܐ . ܐܳܦ ܨܰܘܪܶܟܝ̄ ܒܗܶܡܢܺܝܟܳܐ ܕܰܗܒܳܢܳܝܳܐ . ܒܰܕܡܳܐ ܕܣܳܗ̈ܕܶܐ ܡܨܰܒܬܳܐ ܐܰܢ̄ܬܝ̄ . ܘܰܒܝܽܘܠ̈ܦܳܢܶܐ ܒܚܺܝܪ̈ܶܐ ܡܫܰܪܪܳܐ ܐܰܢ̄ܬܝ̄ . ܘܡܶܬܒܰܣܡܳܐ ܐܰܢ̄ܬܝ̄ ܒܠܰܚܡܳܐ ܫܡܰܝܳܢ","true","ܡܐ ܫܦܝܪܬܝ ܘܡܐ ܝܐܝܬܝ ܐܘ ܥܕܬܐ ܡܗܝܡܢܬܐ ܡܟܝܪܬܗ ܕܚܬܢܐ ܡܫܝܚܐ ܝܐܝܢ ܦܟܝܟܝ ܒܓܕܘܠܐ ܐܦ ܨܘܪܟܝ ܒܗܡܢܝܟܐ ܕܗܒܢܝܐ ܒܕܡܐ ܕܣܗܕܐ ܡܨܒܬܐ ܐܢܬܝ ܘܒܝܘܠܦܢܐ ܒܚܝܪܐ ܡܫܪܪܐ ܐܢܬܝ ܘܡܬܒܣܡܐ ܐܢܬܝ ܒܠܚܡܐ ܫܡܝܢܐ ܕܐܠܗܐ ܡܥܠܝܐ ","3E334011F8232F861677A34AF1BC191F","ܡܐ ܫܦܝܪܬܝ ܘܡܐ ܝܐܝܬܝ ܐܘ ܥܕܬܐ ܡܗܝܡܢܬܐ ܡܟܝܪܬܗ ܕܚܬܢܐ ܡܫܝܚܐ ܝܐܝܢ ܦܟܝܟܝ ܒܓܕܘܠܐ ܐܦ ܨܘܪܟܝ ܒܗܡܢܝܟܐ ܕܗܒܢܝܐ ܒܕܡܐ ܕܣܗܕܐ ܡܨܒܬܐ ܐܢܬܝ ܘܒܝܘܠܦܢܐ ܒܚܝܪܐ ܡܫܪܪܐ ܐܢܬܝ ܘܡܬܒܣܡܐ ܐܢܬܝ ܒܠܚܡܐ ܫܡܝܢܐ ܕܐܠܗܐ ܡܥܠܝܐ"
